id,name,description,icon,order_index,created_at,updated_at,translations
bbea92ed-7fa6-4edf-b7cd-2aca75488b0f,Tägliche Reflexion,Routine-Einträge für Morgen und Abend,calendar,1,2025-04-12 16:54:03.711083+00,2025-04-12 16:54:03.711083+00,"{""en"":{""name"":""Daily Reflection"",""description"":""Routine entries for morning and evening""}}"
39695625-a356-4414-9cf0-088cffd9b1b5,Klarheit,Übungen zur Steigerung der Klarheit,lightbulb,2,2025-04-12 16:54:03.711083+00,2025-04-12 16:54:03.711083+00,"{""en"":{""name"":""Clarity"",""description"":""Exercises to increase clarity""}}"
2c4acd26-d993-41b7-8817-7f99a1cfc0d9,Lebendigkeit,Übungen zur Steigerung der Lebendigkeit,sparkles,3,2025-04-12 16:54:03.711083+00,2025-04-12 16:54:03.711083+00,"{""en"":{""name"":""Liveliness"",""description"":""Exercises to increase liveliness""}}"
c7fd3560-f89a-497f-88c1-446bf9d369f4,Ausrichtung,Übungen zur Steigerung der Ausrichtung,compass,4,2025-04-12 16:54:03.711083+00,2025-04-12 16:54:03.711083+00,"{""de"":{""name"":""Ausrichtung"",""description"":""Übungen zur Steigerung der Ausrichtung""},""en"":{""name"":""Alignment"",""description"":""Exercises to increase alignment""}}"
e76eb7e2-75ea-4d3d-8471-4fd40c0ab703,Realisierung,Übungen zur Steigerung der Realisierung,target,5,2025-04-12 16:54:03.711083+00,2025-04-12 16:54:03.711083+00,"{""de"":{""name"":""Realisierung"",""description"":""Übungen zur Steigerung der Realisierung""},""en"":{""name"":""Realization"",""description"":""Exercises to increase realization""}}"
e05b60c9-2d7c-467d-bd8a-4ebeb5028557,Entfaltung,Übungen zur Steigerung der Entfaltung,flower,6,2025-04-12 16:54:03.711083+00,2025-04-12 16:54:03.711083+00,"{""de"":{""name"":""Entfaltung"",""description"":""Übungen zur Steigerung der Entfaltung""},""en"":{""name"":""Unfolding"",""description"":""Exercises to increase unfolding""}}"
